{'basic_model': 'resnet50', 'motion': '', 'seq': True, 'se_layer': False, 'dilation': False, 'distillation': False, 'L2': False, 'KL': False, 'iter_num': 80000, 'iter_save': 10000, 'iter_start_seq': 0, 'train_batch_size': 6, 'last_iter': 0, 'lr': 0.001, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.95, 'snapshot': '', 'pretrain': './ckpt/VideoSaliency_2020-02-04 11:17:40/60000.pth', 'imgs_file': 'Pre-train/pretrain_all_seq_DUT_TR_DAFB2_DAVSOD2.txt', 'train_loader': 'both'}

[iter 147][normal], [total loss 0.31322], [loss0 0.13264], [loss1 0.13942], [loss2 0.13753] [lr 0.0009983460980]
[iter 148][seq], [total loss 0.31389], [loss0 0.13286], [loss1 0.13933], [loss2 0.13743] [lr 0.0009983348459]
[iter 149][normal], [total loss 0.31204], [loss0 0.13221], [loss1 0.13864], [loss2 0.13675] [lr 0.0009983235938]
[iter 150][normal], [total loss 0.31050], [loss0 0.13186], [loss1 0.13825], [loss2 0.13638] [lr 0.0009983123417]
[iter 151][seq], [total loss 0.31100], [loss0 0.13199], [loss1 0.13816], [loss2 0.13622] [lr 0.0009983010896]
[iter 152][normal], [total loss 0.30938], [loss0 0.13153], [loss1 0.13766], [loss2 0.13573] [lr 0.0009982898374]
[iter 153][normal], [total loss 0.30765], [loss0 0.13096], [loss1 0.13705], [loss2 0.13513] [lr 0.0009982785853]
[iter 154][seq], [total loss 0.30767], [loss0 0.13076], [loss1 0.13677], [loss2 0.13502] [lr 0.0009982673331]
[iter 155][normal], [total loss 0.30615], [loss0 0.13037], [loss1 0.13634], [loss2 0.13461] [lr 0.0009982560810]
[iter 156][normal], [total loss 0.30460], [loss0 0.12994], [loss1 0.13587], [loss2 0.13415] [lr 0.0009982448288]
[iter 157][seq], [total loss 0.30461], [loss0 0.12972], [loss1 0.13565], [loss2 0.13398] [lr 0.0009982335766]
[iter 158][normal], [total loss 0.30336], [loss0 0.12958], [loss1 0.13547], [loss2 0.13381] [lr 0.0009982223243]
[iter 159][normal], [total loss 0.30188], [loss0 0.12918], [loss1 0.13504], [loss2 0.13339] [lr 0.0009982110721]
[iter 160][seq], [total loss 0.30227], [loss0 0.12911], [loss1 0.13495], [loss2 0.13336] [lr 0.0009981998199]
[iter 161][normal], [total loss 0.30078], [loss0 0.12868], [loss1 0.13449], [loss2 0.13291] [lr 0.0009981885676]
[iter 162][normal], [total loss 0.29925], [loss0 0.12820], [loss1 0.13397], [loss2 0.13241] [lr 0.0009981773153]
[iter 163][seq], [total loss 0.29892], [loss0 0.12785], [loss1 0.13363], [loss2 0.13220] [lr 0.0009981660630]
[iter 164][normal], [total loss 0.29771], [loss0 0.12767], [loss1 0.13341], [loss2 0.13199] [lr 0.0009981548107]
[iter 165][normal], [total loss 0.29634], [loss0 0.12733], [loss1 0.13304], [loss2 0.13163] [lr 0.0009981435584]
[iter 166][seq], [total loss 0.29616], [loss0 0.12707], [loss1 0.13274], [loss2 0.13143] [lr 0.0009981323061]
[iter 167][normal], [total loss 0.29485], [loss0 0.12676], [loss1 0.13241], [loss2 0.13110] [lr 0.0009981210538]
[iter 168][normal], [total loss 0.29359], [loss0 0.12650], [loss1 0.13211], [loss2 0.13081] [lr 0.0009981098014]
[iter 169][seq], [total loss 0.29328], [loss0 0.12625], [loss1 0.13180], [loss2 0.13049] [lr 0.0009980985490]
[iter 170][normal], [total loss 0.29191], [loss0 0.12586], [loss1 0.13137], [loss2 0.13008] [lr 0.0009980872966]
[iter 171][normal], [total loss 0.29103], [loss0 0.12595], [loss1 0.13142], [loss2 0.13014] [lr 0.0009980760442]
[iter 172][seq], [total loss 0.29738], [loss0 0.12624], [loss1 0.13454], [loss2 0.13253] [lr 0.0009980647918]
[iter 173][normal], [total loss 0.29649], [loss0 0.12633], [loss1 0.13458], [loss2 0.13259] [lr 0.0009980535394]
